N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
400,0.5,A,figure1,-0.05253,0.17886,0.00768,0.08096,500,500,500
400,0.5,B,figure1,-0.07602,0.20061,0.00771,0.09111,500,500,500
400,0.75,A,figure1,-0.22197,0.34339,0.00502,0.09744,500,500,500
400,0.75,B,figure1,-0.27736,0.35563,0.00595,0.11031,500,500,500
600,0.25,A,figure1,-0.01246,0.08998,-0.00022,0.05633,500,500,500
600,0.25,B,figure1,-0.02055,0.10158,0.00063,0.06387,500,500,500
600,0.5,A,figure1,-0.03909,0.14361,-0.00301,0.06649,500,500,500
600,0.5,B,figure1,-0.05555,0.16135,-0.00088,0.07538,500,500,500
600,0.75,A,figure1,-0.16973,0.27345,-0.00774,0.08209,500,500,500
600,0.75,B,figure1,-0.18959,0.29164,-0.00296,0.09256,500,500,500
800,0.25,A,figure1,-0.00388,0.07821,0.00409,0.04853,500,500,500
800,0.25,B,figure1,-0.00998,0.08792,0.00423,0.05463,500,500,500
800,0.5,A,figure1,-0.0198,0.12659,0.00285,0.05711,500,500,500
800,0.5,B,figure1,-0.034,0.14079,0.0023,0.06448,500,500,500
800,0.75,A,figure1,-0.11575,0.24816,-0.00109,0.06948,500,500,500
800,0.75,B,figure1,-0.13693,0.25764,-0.00097,0.07899,500,500,500
1000,0.25,A,figure1,-0.00563,0.07012,0.00297,0.04349,500,500,500
1000,0.25,B,figure1,-0.00848,0.07831,0.00126,0.04869,500,500,500
1000,0.5,A,figure1,-0.02247,0.11305,0.00189,0.05128,500,500,500
1000,0.5,B,figure1,-0.02693,0.12523,-0.00051,0.0573,500,500,500
1000,0.75,A,figure1,-0.10304,0.21892,-0.00167,0.06263,500,500,500
1000,0.75,B,figure1,-0.11249,0.22976,-0.00463,0.06989,500,500,500
1200,0.25,A,figure1,-0.00388,0.064,0.0023,0.03979,500,500,500
1200,0.25,B,figure1,-0.0078,0.07172,0.00138,0.0445,500,500,500
1200,0.5,A,figure1,-0.0151,0.10266,0.00094,0.047,500,500,500
1200,0.5,B,figure1,-0.02367,0.11478,-0.00082,0.05262,500,500,500
1200,0.75,A,figure1,-0.07615,0.19787,-0.00368,0.05772,500,500,500
1200,0.75,B,figure1,-0.09085,0.21039,-0.00688,0.06524,500,500,500
1400,0.25,A,figure1,-0.0038,0.05893,-0.00044,0.03668,500,500,500
1400,0.25,B,figure1,-0.00779,0.06631,-0.00082,0.0413,500,500,500
1400,0.5,A,figure1,-0.01219,0.09481,-0.00203,0.04337,500,500,500
1400,0.5,B,figure1,-0.0221,0.10629,-0.00284,0.04896,500,500,500
1400,0.75,A,figure1,-0.06119,0.18472,-0.00639,0.05322,500,500,500
1400,0.75,B,figure1,-0.08667,0.19587,-0.00865,0.06077,500,500,500
