N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
1000,0.5,A,figure1,-0.04279,0.14606,0.00181,0.06695,500,500,500
1000,0.5,B,figure1,-0.05431,0.17981,-0.00065,0.08364,500,500,500
1000,0.75,A,figure1,-0.14985,0.26103,-0.00212,0.08209,500,500,500
1000,0.75,B,figure1,-0.17215,0.29623,-0.00414,0.10149,500,500,500
1200,0.25,A,figure1,-0.00871,0.08339,0.00364,0.0519,500,500,500
1200,0.25,B,figure1,-0.01548,0.10526,0.00601,0.06557,500,500,500
1200,0.5,A,figure1,-0.02974,0.13245,0.00125,0.06134,500,500,500
1200,0.5,B,figure1,-0.04749,0.16517,0.00532,0.07684,500,500,500
1200,0.75,A,figure1,-0.11682,0.23093,-0.00369,0.07586,500,500,500
1200,0.75,B,figure1,-0.15403,0.27479,0.0056,0.09205,500,500,500
1400,0.25,A,figure1,-0.01133,0.07675,-0.0012,0.04766,500,500,500
1400,0.25,B,figure1,-0.02308,0.09653,-0.00175,0.06033,500,500,500
1400,0.5,A,figure1,-0.02861,0.12242,-0.00384,0.0564,500,500,500
1400,0.5,B,figure1,-0.05788,0.15189,-0.00572,0.07154,500,500,500
1400,0.75,A,figure1,-0.09624,0.21865,-0.00976,0.06995,500,500,500
1400,0.75,B,figure1,-0.1625,0.24931,-0.01246,0.08933,500,500,500
1600,0.25,A,figure1,-0.0105,0.07209,0.00068,0.04465,500,500,500
1600,0.25,B,figure1,-0.01423,0.0904,0.00016,0.05617,500,500,500
1600,0.5,A,figure1,-0.02745,0.11577,-0.00107,0.05268,500,500,500
1600,0.5,B,figure1,-0.03914,0.14326,-0.00141,0.06624,500,500,500
1600,0.75,A,figure1,-0.08739,0.20747,-0.00564,0.06438,500,500,500
1600,0.75,B,figure1,-0.12008,0.24139,-0.00239,0.08042,500,500,500
1800,0.25,A,figure1,-0.00998,0.06794,0.00043,0.04224,500,500,500
1800,0.25,B,figure1,-0.01178,0.08537,0.00625,0.05317,500,500,500
1800,0.5,A,figure1,-0.0248,0.10913,-0.00145,0.05008,500,500,500
1800,0.5,B,figure1,-0.03186,0.1352,0.00473,0.06243,500,500,500
1800,0.75,A,figure1,-0.08255,0.1945,-0.00673,0.06202,500,500,500
1800,0.75,B,figure1,-0.09734,0.22757,0.00046,0.07572,500,500,500
2000,0.25,A,figure1,-0.0067,0.06489,0.00465,0.04003,500,500,500
2000,0.25,B,figure1,-0.00801,0.08113,0.00379,0.05025,500,500,500
2000,0.5,A,figure1,-0.0182,0.1041,0.00336,0.04704,500,500,500
2000,0.5,B,figure1,-0.02584,0.12832,0.00192,0.05903,500,500,500
2000,0.75,A,figure1,-0.0613,0.18674,-0.00172,0.05713,500,500,500
2000,0.75,B,figure1,-0.0873,0.21416,-0.0015,0.07119,500,500,500
2200,0.25,A,figure1,-0.00674,0.06139,0.00029,0.03797,500,500,500
2200,0.25,B,figure1,-0.01096,0.07678,-0.00021,0.04802,500,500,500
2200,0.5,A,figure1,-0.01772,0.0983,-0.00193,0.0449,500,500,500
2200,0.5,B,figure1,-0.02864,0.12149,-0.00252,0.05667,500,500,500
2200,0.75,A,figure1,-0.05877,0.17549,-0.00816,0.05539,500,500,500
2200,0.75,B,figure1,-0.08487,0.20433,-0.00626,0.06908,500,500,500
2400,0.25,A,figure1,-0.00556,0.05866,-0.00101,0.03635,500,500,500
2400,0.25,B,figure1,-0.01012,0.07367,0.00067,0.04582,500,500,500
2400,0.5,A,figure1,-0.01618,0.09374,-0.00379,0.043,500,500,500
2400,0.5,B,figure1,-0.02699,0.11637,-0.00291,0.05414,500,500,500
2400,0.75,A,figure1,-0.059,0.16695,-0.01069,0.05286,500,500,500
2400,0.75,B,figure1,-0.07937,0.19526,-0.0108,0.06731,500,500,500
2600,0.25,A,figure1,0.00209,0.05667,0.0029,0.03485,500,500,500
2600,0.25,B,figure1,-0.00517,0.07101,-9e-05,0.04387,500,500,500
2600,0.5,A,figure1,-0.0038,0.09051,5e-05,0.04113,500,500,500
2600,0.5,B,figure1,-0.01948,0.11208,-0.00363,0.05184,500,500,500
2600,0.75,A,figure1,-0.03742,0.16071,-0.00779,0.05068,500,500,500
2600,0.75,B,figure1,-0.06977,0.18713,-0.00985,0.0638,500,500,500
2800,0.25,A,figure1,-0.00301,0.05419,-0.0,0.0336,500,500,500
2800,0.25,B,figure1,-0.00351,0.06829,0.00274,0.04223,500,500,500
2800,0.5,A,figure1,-0.0104,0.08654,-0.00252,0.0397,500,500,500
2800,0.5,B,figure1,-0.01408,0.10815,5e-05,0.0498,500,500,500
2800,0.75,A,figure1,-0.03554,0.15383,-0.00836,0.04868,500,500,500
2800,0.75,B,figure1,-0.05077,0.18177,-0.00572,0.06088,500,500,500
3000,0.25,A,figure1,-0.00609,0.05257,0.00184,0.03257,500,500,500
3000,0.25,B,figure1,-0.00121,0.06634,0.004,0.04082,500,500,500
3000,0.5,A,figure1,-0.01575,0.08409,0.00071,0.03842,500,500,500
3000,0.5,B,figure1,-0.01269,0.10523,0.00095,0.04801,500,500,500
3000,0.75,A,figure1,-0.0505,0.1491,-0.00461,0.04672,500,500,500
3000,0.75,B,figure1,-0.05018,0.17723,-0.0057,0.05841,500,500,500
3200,0.25,A,figure1,-0.0069,0.0509,0.00032,0.03137,500,500,500
3200,0.25,B,figure1,-0.01069,0.06397,0.00063,0.03972,500,500,500
3200,0.5,A,figure1,-0.01699,0.08124,-0.0011,0.03695,500,500,500
3200,0.5,B,figure1,-0.0238,0.10143,-0.00095,0.04676,500,500,500
3200,0.75,A,figure1,-0.05162,0.14324,-0.00766,0.0451,500,500,500
3200,0.75,B,figure1,-0.06227,0.17076,-0.00666,0.05682,500,500,500
3400,0.25,A,figure1,-0.00481,0.04935,-0.00027,0.0305,500,500,500
3400,0.25,B,figure1,-0.00706,0.06205,0.00153,0.0383,500,500,500
3400,0.5,A,figure1,-0.01337,0.07895,-0.0024,0.03604,500,500,500
3400,0.5,B,figure1,-0.01742,0.09833,-0.00039,0.04498,500,500,500
3400,0.75,A,figure1,-0.04258,0.14074,-0.00872,0.04434,500,500,500
3400,0.75,B,figure1,-0.05231,0.16513,-0.00634,0.05453,500,500,500
3600,0.25,A,figure1,-0.0038,0.04816,0.00108,0.0297,500,500,500
3600,0.25,B,figure1,-0.00201,0.06045,0.00219,0.03723,500,500,500
3600,0.5,A,figure1,-0.00899,0.07726,-0.00018,0.03497,500,500,500
3600,0.5,B,figure1,-0.01082,0.0957,-0.00049,0.0438,500,500,500
3600,0.75,A,figure1,-0.03383,0.13868,-0.00619,0.04246,500,500,500
3600,0.75,B,figure1,-0.04078,0.16098,-0.00618,0.05313,500,500,500
3800,0.25,A,figure1,-0.00237,0.04663,0.00155,0.02877,500,500,500
3800,0.25,B,figure1,-0.01029,0.05817,-3e-05,0.03635,500,500,500
3800,0.5,A,figure1,-0.00939,0.07453,-0.00066,0.03396,500,500,500
3800,0.5,B,figure1,-0.02406,0.0919,-0.00177,0.04286,500,500,500
3800,0.75,A,figure1,-0.036,0.13219,-0.00727,0.0416,500,500,500
3800,0.75,B,figure1,-0.06235,0.15326,-0.00687,0.05218,500,500,500
