N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
3000,0.25,B,figure1,-0.01256,0.06602,0.00056,0.04114,500,500,500
3000,0.5,A,figure1,-0.01023,0.08436,-0.0006,0.03839,500,500,500
3000,0.5,B,figure1,-0.02505,0.10346,-0.00406,0.04828,500,500,500
3000,0.75,A,figure1,-0.04424,0.14922,-0.01187,0.04739,500,500,500
3000,0.75,B,figure1,-0.06875,0.17333,-0.01144,0.0595,500,500,500
3200,0.25,A,figure1,-0.00157,0.05089,0.00219,0.03136,500,500,500
3200,0.25,B,figure1,-0.00688,0.06392,-0.00025,0.03951,500,500,500
3200,0.5,A,figure1,-0.00798,0.0821,0.00185,0.03702,500,500,500
3200,0.5,B,figure1,-0.01503,0.1011,-0.00169,0.04678,500,500,500
3200,0.75,A,figure1,-0.0383,0.14433,-0.0072,0.04529,500,500,500
3200,0.75,B,figure1,-0.05586,0.16974,-0.00979,0.05728,500,500,500
3400,0.25,A,figure1,-0.00691,0.0491,-0.00157,0.0305,500,500,500
3400,0.25,B,figure1,-0.0102,0.06161,-0.00234,0.03845,500,500,500
3400,0.5,A,figure1,-0.00951,0.07895,-0.00015,0.03593,500,500,500
3400,0.5,B,figure1,-0.01734,0.09812,-0.00239,0.04521,500,500,500
3400,0.75,A,figure1,-0.04453,0.139,-0.00837,0.04428,500,500,500
3400,0.75,B,figure1,-0.05606,0.16559,-0.00313,0.05442,500,500,500
3600,0.25,A,figure1,-0.00354,0.04802,-0.00114,0.02958,500,500,500
3600,0.25,B,figure1,-0.00333,0.06035,0.00176,0.03729,500,500,500
3600,0.5,A,figure1,-0.01103,0.07659,-0.00208,0.035,500,500,500
3600,0.5,B,figure1,-0.01074,0.09442,-0.00182,0.04371,500,500,500
3600,0.75,A,figure1,-0.04222,0.13665,-0.00587,0.04255,500,500,500
3600,0.75,B,figure1,-0.04966,0.16,-0.00778,0.05368,500,500,500
3800,0.25,A,figure1,-0.00337,0.04661,-0.00065,0.02892,500,500,500
3800,0.25,B,figure1,-0.00689,0.05834,0.00133,0.03635,500,500,500
3800,0.5,A,figure1,-0.01094,0.07491,-0.00086,0.03401,500,500,500
3800,0.5,B,figure1,-0.01494,0.0926,-0.00514,0.04301,500,500,500
3800,0.75,A,figure1,-0.03598,0.13152,-0.00818,0.04166,500,500,500
3800,0.75,B,figure1,-0.0463,0.15586,-0.00825,0.05255,500,500,500
4000,0.25,A,figure1,-0.00031,0.04537,0.00245,0.02794,500,500,500
4000,0.25,B,figure1,-0.00392,0.05706,0.00131,0.03543,500,500,500
4000,0.5,A,figure1,-0.00588,0.07296,1e-05,0.03318,500,500,500
4000,0.5,B,figure1,-0.01642,0.09033,-0.00384,0.04179,500,500,500
4000,0.75,A,figure1,-0.03772,0.12762,-0.00939,0.04112,500,500,500
4000,0.75,B,figure1,-0.05276,0.15009,-0.00924,0.05131,500,500,500
4200,0.25,A,figure1,-0.00373,0.04432,-0.00034,0.02741,500,500,500
4200,0.25,B,figure1,-0.00812,0.05551,0.00152,0.03443,500,500,500
4200,0.5,A,figure1,-0.00334,0.07136,-0.00018,0.03228,500,500,500
4200,0.5,B,figure1,-0.01189,0.0886,-0.00082,0.04066,500,500,500
4200,0.75,A,figure1,-0.0353,0.12653,-0.00897,0.03966,500,500,500
4200,0.75,B,figure1,-0.04932,0.14514,-0.00787,0.0501,500,500,500
4400,0.25,A,figure1,-0.00357,0.04321,0.00035,0.02675,500,500,500
4400,0.25,B,figure1,-0.00477,0.05431,0.00169,0.03366,500,500,500
4400,0.5,A,figure1,-0.01109,0.06937,-0.00126,0.03177,500,500,500
4400,0.5,B,figure1,-0.01027,0.08548,-0.00148,0.0397,500,500,500
4400,0.75,A,figure1,-0.02908,0.12392,-0.01012,0.03874,500,500,500
4400,0.75,B,figure1,-0.03645,0.14328,-0.0046,0.04787,500,500,500
4600,0.25,A,figure1,-0.00612,0.04216,4e-05,0.02623,500,500,500
4600,0.25,B,figure1,-0.00431,0.05337,0.00081,0.03301,500,500,500
4600,0.5,A,figure1,-0.01344,0.06769,-0.0025,0.03104,500,500,500
4600,0.5,B,figure1,-0.01783,0.08317,-0.00093,0.03887,500,500,500
4600,0.75,A,figure1,-0.03678,0.11977,-0.00986,0.03815,500,500,500
4600,0.75,B,figure1,-0.04327,0.13891,-0.00673,0.0474,500,500,500
4800,0.25,A,figure1,-0.00235,0.04162,-0.00103,0.02573,500,500,500
4800,0.25,B,figure1,-0.00701,0.05183,0.00022,0.0323,500,500,500
4800,0.5,A,figure1,-0.00753,0.06682,-0.00125,0.0303,500,500,500
4800,0.5,B,figure1,-0.01673,0.08246,-0.00367,0.03835,500,500,500
4800,0.75,A,figure1,-0.03254,0.11764,-0.00773,0.03699,500,500,500
4800,0.75,B,figure1,-0.04394,0.13735,-0.00802,0.04707,500,500,500
5000,0.25,A,figure1,-0.0029,0.04068,-0.00131,0.02513,500,500,500
5000,0.25,B,figure1,-0.00084,0.05113,0.00099,0.0315,500,500,500
5000,0.5,A,figure1,-0.00756,0.06515,-0.00133,0.0296,500,500,500
5000,0.5,B,figure1,-0.01414,0.08043,-0.00374,0.03721,500,500,500
5000,0.75,A,figure1,-0.03089,0.11567,-0.01057,0.03664,500,500,500
5000,0.75,B,figure1,-0.03669,0.13408,-0.01031,0.04598,500,500,500
